trajectory,inter,intra,dissociation time
628,13.74777655,156.8935096,0.88999998
629,11.53206876,158.6812152,0.999999978
630,11.45042673,158.844589,1.979999956
631,17.00085733,153.5246176,1.089999976
632,14.60368535,155.3851179,0.739999984
633,16.22452881,153.3749678,0.629999986
634,12.81759071,157.9888635,0.729999984
635,9.303533524,161.488163,3.869999914
636,10.56894024,159.0773838,1.439999968
637,15.54914124,154.7753109,0.979999978
638,8.301551537,162.0576555,2.389999947
639,10.90787262,159.8767548,4.969999889
640,13.00256169,157.8597427,1.439999968
641,9.945217012,160.5382273,4.639999896
642,15.58823145,155.3743102,4.509999899
643,6.328217441,164.5481773,4.989999889
644,11.05050422,159.5450036,0.989999978
645,9.668954825,160.8131665,1.209999973
646,5.062873338,165.3114653,1.399999969
647,15.1679198,155.9264761,1.829999959
648,11.97314868,158.7675911,1.33999997
649,7.901979557,162.8364117,2.819999937
650,8.511980986,162.1693638,7.189999839
651,15.48356069,155.5702216,2.049999954
652,8.296470193,162.2458756,2.759999938
653,9.695166976,160.9826019,0.849999981
654,7.282651751,163.4404432,3.109999931
655,13.51949378,157.3965833,1.159999974
656,7.12072466,162.8829021,1.919999957
657,9.400626305,161.0182273,2.709999939
658,7.955141816,162.2385561,2.429999946
659,5.182676626,165.0520801,12.91999971
660,6.674331808,163.2647462,3.379999925
661,15.09494539,155.5390565,0.689999985
662,9.450760686,161.5338813,2.68999994
663,11.9633391,158.30203,1.199999973
664,12.90255911,157.8922802,1.479999967
665,3.986001287,166.4303788,3.239999928
666,7.557508649,163.2074196,1.509999966
667,18.78538227,151.6525089,0.729999984
668,9.533458899,160.9521515,0.689999985
669,7.688784703,162.9332523,1.669999963
670,11.03688964,159.5668763,0.979999978
671,13.56816112,156.5394568,1.209999973
672,14.17879185,156.5319085,0.749999983
673,8.149409435,162.0413009,1.269999972
674,7.967542673,162.6538528,3.14999993
675,6.80210336,164.1403145,1.089999976
676,10.97090565,159.719757,2.929999935
677,9.379096926,161.2139385,1.439999968
678,21.29029064,149.2722945,2.029999955
679,17.63952409,153.3984703,0.839999981
680,11.62847076,158.2879628,0.939999979
681,14.75634267,156.2155397,1.209999973
682,8.49206762,162.0047605,2.519999944
683,9.905892066,160.3010865,0.869999981
684,7.87754639,163.1573553,0.839999981
685,12.0498203,158.7235597,1.589999965
686,6.212336669,163.8354396,1.239999972
687,14.7341574,155.1301644,0.989999978
688,19.53967963,151.4412152,0.759999983
689,14.33889278,156.738456,0.709999984
690,20.6893737,149.2757255,4.679999895
691,13.71279385,155.5872051,1.039999977
692,9.549549821,160.9984132,1.149999974
693,13.25030007,156.841644,2.369999947
694,15.38956497,155.4060472,0.579999987
695,13.65151751,156.8549964,1.369999969
696,7.58005847,162.7660186,0.939999979
697,11.40938427,158.70406,0.829999981
698,8.323782845,162.1314224,0.869999981
699,6.448022731,164.133138,4.879999891
700,12.87976083,157.8210865,1.149999974
701,16.59364532,154.4530808,1.189999973
702,4.196499071,165.7386562,2.189999951
703,13.4518609,156.0883345,0.809999982
704,13.29843846,157.1193853,1.059999976
705,10.46230407,160.0856469,0.809999982
706,11.04239185,159.9866047,0.779999983
707,10.77173796,160.2827019,0.969999978
708,10.23482959,159.2885919,1.749999961
709,15.2594792,154.7670479,1.449999968
710,9.490107648,161.4017012,1.749999961
711,7.257715368,163.0326376,2.24999995
712,12.52049507,157.5522945,1.039999977
713,5.157262187,165.5916369,1.749999961
714,8.793814296,161.5546962,1.33999997
715,16.66875297,153.2812152,2.379999947
716,6.993111794,163.638985,0.929999979
717,10.85568763,158.659857,1.689999962
718,4.345186705,165.8650893,0.949999979
719,11.37578542,158.9583274,2.769999938
720,7.744368692,162.1935239,0.839999981
721,8.033498642,162.7265618,0.949999979
722,7.780998284,162.7069478,0.929999979
723,14.29986119,156.2714939,1.149999974
724,13.10040329,157.9217298,0.659999985
725,5.916216297,165.1635883,1.049999977
726,13.27652738,157.213624,1.35999997
727,13.74469664,156.8766119,0.90999998
728,9.243024017,160.553381,2.949999934
729,8.030859328,161.8823588,0.779999983
730,13.59916812,156.611737,0.869999981
731,14.42544746,156.1308792,1.039999977
732,13.69102116,157.3113796,2.739999939
733,6.021166976,164.2968549,2.539999943
734,7.408734954,163.1636741,1.78999996
735,13.39516355,156.9002287,4.529999899
736,19.56517127,150.8661472,1.829999959
737,4.99955554,165.689421,3.199999929
738,15.84702573,154.5115511,1.169999974
739,13.01217999,157.7634453,0.849999981
740,15.56038213,154.7063474,5.609999875
741,12.66371222,158.0488778,0.569999987
742,15.67616941,154.3760543,1.129999975
743,11.7141574,158.7088063,0.629999986
744,7.577245318,163.0304932,2.979999933
745,2.116065618,168.843045,5.129999885
746,11.82436097,158.803817,2.66999994
747,9.721445461,160.2019299,0.89999998
748,14.18751723,156.4359828,0.939999979
749,3.427691351,167.0939099,1.939999957
750,6.190293781,164.0261758,3.639999919
751,8.41019857,162.1446033,2.129999952
752,17.67615511,152.6555111,1.299999971
753,8.441753681,162.4899643,1.299999971
754,10.36071923,160.4652037,0.87999998
755,10.08544946,160.8886204,2.049999954
756,13.2024233,157.26406,1.099999975
757,7.458887634,162.5941816,1.319999971
758,19.10385032,151.7088921,1.279999971
759,9.763673624,160.5577269,1.869999958
760,6.445032881,163.2693209,1.439999968
761,9.139761115,161.2901072,1.77999996
762,8.173386562,162.145747,1.079999976
763,15.80315096,155.0386133,1.479999967
764,16.27052709,154.3399428,1.129999975
765,10.34979257,160.6571122,0.869999981
766,16.05337084,154.465461,1.999999955
767,12.06985204,158.0698928,1.269999972
768,16.51502688,154.3208149,0.659999985
769,6.117630736,163.9263617,5.529999876
770,12.56615225,157.6366119,0.779999983
771,12.79742059,157.3652752,0.759999983
772,16.89056397,153.7396855,5.989999866
773,9.82939371,161.1447748,0.969999978
774,5.250929664,165.3742244,1.299999971
775,15.37074982,154.6141673,0.689999985
776,5.204766119,164.8315797,1.669999963
777,11.18223974,159.5199285,1.899999958
778,13.24944603,157.4803288,1.78999996
779,9.328439886,160.8745247,4.189999906
780,14.75715525,155.8601716,0.649999986
781,15.25912066,155.1159257,0.849999981
782,3.829347963,166.2161401,5.939999867
783,3.81306376,166.7340815,2.039999954
784,4.917050036,165.5128663,3.899999913
785,7.906567405,162.6860758,2.349999948
786,11.16644132,159.1623874,0.829999981
787,13.07246619,157.2505647,1.169999974
788,14.15012366,156.6139671,1.199999973
789,16.88152609,153.1130093,1.459999967
790,9.83378599,160.0827305,1.459999967
791,9.453656755,161.2124803,0.849999981
792,14.20041587,156.0348392,7.819999825
793,16.73413796,153.5625304,1.559999965
794,9.041990422,161.6378985,0.849999981
795,14.6875461,156.0335239,0.509999989
796,9.793864618,160.8642888,1.279999971
797,17.19254282,153.1959257,0.959999979
798,7.544798713,162.1347963,1.059999976
799,7.229289921,162.1038313,3.14999993
800,6.334051322,164.4282345,1.959999956
801,17.48725189,152.8151966,1.699999962
802,7.405185561,162.6051894,1.079999976
803,18.02564818,151.8168263,1.289999971
804,6.512428163,164.254253,1.139999975
805,14.13589264,156.6818156,1.989999956
806,11.04308549,159.6890779,2.929999935
